,row.customer_id,row.review_id,row.product_id,row.product_title,row.star_rating,row.review_headline,row.review_body,pipeline score,VADER score
11,48269642,R29DOU8791QZL8,B000A3IA0Y,72 Pin Connector for NES 8 BIT Nintendo System (Bulk Packaging),1,Game will get stuck,Does not fit properly. The cartridge will get stuck and will be a pain in the butt to get out! I don't think this company actually test this because if they did they would notice that the cartridge will be hard as hell to remove! My advice would be to try and refurbish the old 72 pin if possible. Don't waste your money like I did.,NEGATIVE,NEGATIVE
12,52738710,R15DUT1VIJ9RJZ,B0053BQN34,uDraw Gametablet with uDraw Studio,2,We have tried it with kids ages 4-7 and none of them have had fun doing it,This was way too hard for my kids. We have tried it with kids ages 4-7 and none of them have had fun doing it. It's a little complicated and I pretty much had to do it the whole time for them. They would only play with it for a few minutes and then be done. It looked fun so we were disappointed that it wasn't easy enough for them to use.,NEGATIVE,POSITIVE
13,10556786,R3IMF2MQ3OU9ZM,B002I0HIMI,NBA 2K12(Covers May Vary),4,Four Stars,Works great good game arrived quickly,POSITIVE,POSITIVE
14,2963837,R23H79DHOZTYAU,B0081EH12M,New Trigger Grips Black Compatible With PSVita Playstation Vita,1,Now i have to buy a better one. Sorry guys but its the truth,It did not fit the device well... Now i have to buy a better one. Sorry guys but its the truth.,NEGATIVE,POSITIVE
15,23092109,RIV24EQAIXA4O,B005FMLZQQ,Xbox 360 Media Remote,5,Five Stars,perfect lightweight and works flawless with Xbox 360,POSITIVE,POSITIVE
16,23091728,R3UCNGYDVN24YB,B002BSA388,Super Mario Galaxy 2,5,Five Stars,great,POSITIVE,POSITIVE
17,10712640,RUL4H4XTTN2DY,B00BUSLSAC,Nintendo 3DS XL - Yellow Pikachu,5,Five Stars,Works beautifully and looks great. I love playing the slew of great rpgs for it.,POSITIVE,POSITIVE
18,17455376,R20JF7Z4DHTNX5,B00KWF38AW,Captain Toad:  Treasure Tracker,5,Five Stars,Kids loved the game.  They are 9 and 11.,POSITIVE,POSITIVE
19,14754850,R2T1AJ5MFI2260,B00BRQJYA8,Lego Batman 2: DC Super Heroes,4,Four Stars,Goodngame,POSITIVE,NEUTRAL
20,14533949,RYSSKR5ZTU8JX,B0056WJA6C,Bodycount,1,Not worth it. Better to buy minecraft,"Game had bad gameplay, terrible mechanics, and the game gave me a head ache with the graphics.",NEGATIVE,NEGATIVE
21,2322846,R2E5BQMWTW9JUQ,B003GDFMWE,Component HDTV AV Cable for Xbox 360,5,Five Stars,works fantastic,POSITIVE,POSITIVE
22,48880662,R1UC7WJRQQKU5V,B0053OLY9O,Wireless Stereo Headset - Playstation 3,5,Five Stars,very good,POSITIVE,POSITIVE
23,10712640,R3V0YK55IDIW3T,B00FS2XRIC,Kingdom Hearts,5,It contains the two best Kingdom Hearts games that can be replayed in beautiful ...,It contains the two best Kingdom Hearts games that can be replayed in beautiful hd. KH2 especially still holds up amazing.,POSITIVE,POSITIVE
24,22151364,R14Z48EC6DKJX9,B000PHNW3A,Shadowrun,5,Five Stars,Awesome!,POSITIVE,POSITIVE
25,1581810,R3AACSKX1EAHUY,B001REZLY8,Fallout 3: Game of The Year Edition,5,Wow just Amazing,This game is legendary if you like RPG games and haven't played any of the fallout games BUY THIS GAME it's worth every cent I'm my opinion I think this is a little better than Skyrim and get Game of the Year edition its pretty cheap and actually worth your money,POSITIVE,POSITIVE
26,25401563,R1FJWU0IJ4KUT4,B001BNFQKO,Grand Theft Auto IV,1,DRM FAIL,"Normally I wouldn't bother rating anythng 1 star but Rockstar has made this thing very difficult, if not impossible to authenticate. The automatic autherntication does not work and the offline setup doesn't either. The super secret code it generates does nothing. You copy that to one window then type in the other super secret code that comes on the back of a book, hit authenticate or whatever and it terminates, saying you should make sure the unlock request is entered correctly. Well, yes you idiots, I know how to copy and paste. You cannot play even offline and you have to start all over again. There is a securerom link to go to if you can't get it working. It doesn't work either. It's so secure you can't access it. I do have the xbox version so I can play it but I prefer PC gaming.<br /><br />Maybe the steam version is the way to go. I haven't tried it and am not planning to buy the damn thing a third time but that might be the way to go instead of footling around with the disc version. I do not recommend wasting your time trying to get through Rockstar's DRM. Honestly you idiots, pirates will pirate. Regular users are the ones who get scred by DRM. When will you learn?",NEGATIVE,NEGATIVE
27,3014276,R3D8ELWH0671OJ,B00RAB0J0S,Gameband,5,Five Stars,Hi,POSITIVE,NEUTRAL
28,27975200,R3IU97WRKS5SLN,B0034JKYO6,Halo Wars,5,Five Stars,"great game, halo RTS well done",POSITIVE,POSITIVE
29,47864127,RJOF64DZUKQ3D,B006OI3CTS,Kingdom Hearts 3D Dream Drop Distance,5,Five Stars,Was a gift and is loved and used by granddaughter.,POSITIVE,POSITIVE
30,45205407,R3GXKE92MJBBSL,B00KVP78FE,Sony PlayStation 4 PS4 Dualshock 4 Wireless Control,5,Five Stars,Nice... just like the oem one,POSITIVE,POSITIVE
31,667240,R3EKZ2GTIPQ3ZL,B00005CF9L,NBA Street Vol 2,5,Its a must buy,It didn't take long to receive my package... The game was in great condition... I just love it,POSITIVE,POSITIVE
32,39746001,R23HC6NMA3HBPS,B00MV7KVP4,Until Dawn  - PlayStation 4 [Digital Code],5,If you like Heavy Rain,"Downloaded this from the PSN before release date but played for about 5 hours last night.<br />Don't expect resident evil style of game play...If you like Heavy Rain, Telltale games such as The Walking Dead & The wolf among us style of game play this is the game for you!!  Supped up graphics and good story line.  I really like the way the creators of the game switch between characters and leaves you in suspense right after an incident.  Really solid game so far!<br /><br /> Update: Sept 11 2015. Really good game.  The only issue I have with this game is it should have been much longer....it's too short.",POSITIVE,POSITIVE
33,4089089,R3ANEHLBZQZKBI,B00KAED7OC,Far Cry 4,5,Five Stars,Amazing game with amazing story,POSITIVE,POSITIVE
34,10712640,R1DLJMMMK89CGD,B00KVRK39A,Persona Q: Shadow of the Labyrinth,5,Five Stars,A kickass special edition package for a great game.,POSITIVE,POSITIVE
35,30477870,RUGCK1O1I3YAD,B00Q4Z29H2,Disney Infinity: 2.0 Edition Power Disc Album Bundle,5,Five Stars,GREAT,POSITIVE,POSITIVE
36,2803958,R32GULBEVCP7C6,B00LUF3DOY,"EagleTec MR5M2509 2.4GHz Wireless Optical Mouse, Switchable DPI 1000/1500/2000,5 Buttons, 2 Programming Keys with Nano USB Receiver (Gold Color) (2509-CG)",1,first one came fine and i am still using it,"i've bought 2 units of this product. first one came fine and i am still using it, so i ordered another for my laptop. it came in like a week ago but i opened it today. it is not working and it looks used to. i know they will refund it, but it is another painful work.",NEGATIVE,NEGATIVE
37,10548951,R3HOHBDG1HOZLE,B00273Z9WM,Nyko Charge Base 360 S for Xbox 360,1,One Star,Though I would like it but seemed cheap when I got it in the mail.,NEGATIVE,POSITIVE
38,24000539,R8HD4KOH8L0A6,B00Q03M888,Dark Souls II: Scholar of the First Sin,5,I played the 360 version and enjoy the heck out of thr series but this just ...,I played the 360 version and enjoy the heck out of thr series but this just brought the game up to the level we always wanted it to be.,POSITIVE,POSITIVE
39,30067162,R1OTFNID62KK2T,B004UDLRMS,Resident Evil: Operation Raccoon City,5,Five Stars,great,POSITIVE,POSITIVE
40,14861684,R1VMI5EN72ALKT,B000AC59ZO,Fable: The Lost Chapters,4,Four Stars,"Love Fable, so this was naturally a winner!",POSITIVE,POSITIVE
41,2305730,R1H4FFUAQGFD3Q,B005DI7N7W,CirKa Controller for N64 (Red),1,One Star,Don't like at all not happy happy just sad sad,NEGATIVE,NEGATIVE
42,669612,R2MTHHQM6RSDQK,B00503E8S2,Call of Duty: Modern Warfare 3 - Xbox 360,4,Four Stars,"I enjoyed th game, But it was easy to beat.",POSITIVE,POSITIVE
43,1822902,R2FGNUPI80N01F,B000I7GI8I,Xbox Precision Controller,1,One Star,Did not work could not return,NEGATIVE,NEUTRAL
44,22151364,R2636ZX835F2AQ,B0050SWTS8,Dead Space 3,5,Five Stars,Awesome!,POSITIVE,POSITIVE
45,29604302,R9WP6WZ1ANYSD,B00O9GW8VK,Nintendo Super Smash Bros. Black Classic Gamecube Controller,5,Look no further,"a lot more comfortable and responsive than any other controllers out there, even the original Nintendo GC controller",POSITIVE,POSITIVE
46,50165446,R19IRZAAPBCJES,B003O6E800,The Legend of Zelda: Ocarina of Time 3D,5,It's the same wonderful amazing game,My husband and I played this when we were younger on the Nintendo Cube. It's the same wonderful amazing game!! The interface is actually even easier to do then the original which is always a perk. So glad Nintendo renewed this game :),POSITIVE,POSITIVE
47,1768899,R2TGYMO2PKK8LN,B005OSFUOY,FIFA Street,5,Five Stars,Love it,POSITIVE,POSITIVE
48,14352536,RE9PNA5CSDZLG,B00YXO5X4M,Turtle Beach - Ear Force Stealth 420X Fully Wireless Gaming Headset (Certified Refurbished) - Xbox One,5,Five Stars,Works Great!,POSITIVE,POSITIVE
49,8399590,R3DCTXDTB028VH,B00NGXUBTI,Americas Collection Twister,5,A Solid Collection!,"I have ALWAYS adored the AC franchise and will continue to support Ubisoft for a long time to come. Let's face it, there are A LOT of Assassin's Creed games! My game shelf was over flowing so I decided to clean things up a bit, therfore, I sold my &#34;AC3 - AC4&#34; games to purchase this set. ( I had never owned AC Liberation before) It's cheaper and more convenient than buying each game separate for the new buyers! I guess the only thing I'm surprised were not included were the Expansion Packs/DLC for each game. These are NOT new games (AC 4 might be an acception) so I am somewhat surprised that Ubisoft continue to make players pay for these old expansion packs.",NEGATIVE,POSITIVE
50,15330489,RL1N4DGJUCG74,B00VE2VAVG,SmaAcc Dual-Channel Charging Station for PS4 Controller/DualShock 4 Wireless Controller,5,Good price.,Does what it supposed to do. So far no problems. Good price.,POSITIVE,NEGATIVE
51,15114496,R35DQBORMMU81P,B00ENFVJJO,POWER A Charger,5,Five Stars,my friend love it for his ps4 pad,POSITIVE,POSITIVE
52,21468512,R3VTIZI7XPW9PR,B0061PAZUS,Zumba Fitness Rush - Xbox 360,4,Keep you sweating!,Good movement respond. Get you sweating even in warm up time. The seller should integrate the tracking possibility in their shipments.,POSITIVE,POSITIVE
53,867682,R3E3B8BFDE3WO5,B0089X37NW,Code of Princess - Nintendo 3DS,4,Trust me its a must get,Love everything about it except that the cd skips. Really disappointed about that but besides that worth every cent you pay.,POSITIVE,POSITIVE
54,40033984,R2GUL5113VW0DR,B0050SYS5A,Zoom for Kinect - Xbox 360,5,Five Stars,Ordered this for my cousin,POSITIVE,NEUTRAL
55,7142190,R4PKAZRQJJX14,B00QZLVCU0,Valve - DOTA 2 Steam Wallet Card ($20),1,What store doesn't sell gift cards that the extra 4 dollars sounds like a good idea,Who pays 4 dollars more for a $20 gift card?<br />What store doesn't sell gift cards that the extra 4 dollars sounds like a good idea?,NEGATIVE,POSITIVE
56,7925007,R3ILKJGE5G9T2Y,B00I2L23HM,Nintendo Korilakkuma Official Kawaii Stylus 3DS LL,5,Sturdy and cute!,Took a while 2 get here but I love it i got the matching hard case and pouch its so cute🐻🐻🐻❤❤❤,POSITIVE,POSITIVE
57,16582908,R2BIY6KUTEBIJB,B00NY5ZPF8,ASTRO Gaming A50,5,Better then turtle beaches,"If you are having issues you need to either update the mic or update your xboxone controller. I use this on my PS4,XB1,360 and ps3 for two years and have not had a single issue they are amazing. As someone who has had turtle beaches these are much more well designed.",POSITIVE,POSITIVE
58,9188079,RL461BGIHV1IN,B00DJ42BUQ,DeusEx Human Revolution Director's Cut,5,Five Stars,VERY GOOD,POSITIVE,POSITIVE
59,1032193,R2DEXYGYSI8ULV,B002I098JE,Call of Duty: Ghosts,5,Five Stars,Delivered as pictured and on time,POSITIVE,NEUTRAL
60,30067162,R2U00BZEU8WL0Q,B007UM59AC,Devil May Cry,5,Five Stars,great,POSITIVE,POSITIVE
61,25204329,R27PVWUICA5L2T,B010B6EKVC,Nintendo Amiibo,5,Awesome addition to collection,Love it!,POSITIVE,POSITIVE
62,50404055,R32LD1SFPD15KP,B00CJ7IUGS,The Elder Scrolls V: Skyrim Legendary Edition,5,This game is awesome. Such a great adventure story,This game is awesome. Such a great adventure story. And buying the legendary edition with the add-ons was totally worth the extra quests and amount of gameplay. Recommend it highly.,POSITIVE,POSITIVE
63,26270005,R2WSD26B3UWFKJ,B00BQWTGIS,Watch Dogs,4,Four Stars,Fun game... though repetitive.,POSITIVE,POSITIVE
64,22151364,R1B2Z9K9P2B53K,B000VBFW7E,Gears Of War - Xbox 360,5,Five Stars,Awesome!,POSITIVE,POSITIVE
65,118326,R2CE7BWKYD31DA,B00CMQTUY2,Xbox One Wireless Controller and Play & Charge Kit (Without 3.5 millimeter headset jack),5,Five Stars,Good price,POSITIVE,POSITIVE
66,30067162,RO37J45AMX1O7,B00IIHU44E,Xbox One Console - Titanfall + Kinect,5,Five Stars,great,POSITIVE,POSITIVE
67,13391060,R1SO82U24GB5BZ,B001E65P72,Generic Battery Pack Cover for Xbox 360 Controller,1,"If ZERO stars were an option, that's what I would rate this...","This thing did NOT work. It's actually two pieces which - I assume - are supposed to fit together and then fit into your controller with the batteries inside. We got the pieces together, yay. Stuck them in the controller, woot. But the thing was loose and almost fell out of the controller no matter how many of us tried (hopefully ruling out user error). With this useless cover wiggling around in there, the batteries don't make a connection, making the cover totally useless. Don't make our mistake and waste money by being cheap :p  I'm on here now shopping for a different one....",NEGATIVE,NEUTRAL
68,20138121,RLM1H6VO69TWL,B00EM5UFF4,Plants vs. Zombies Garden Warfare,1,Complete scam,must buy a monthly subscription to play this game. COMPLETE SCAM.,NEGATIVE,NEGATIVE
69,39665969,R2NCZ6CIHAWH28,B00VE2VASY,SmaAcc Cooling Fan with Dual Charging Station for PS4 Controllers/DualShock 4 Controllers,5,PS4 Standing Tall and Keeping Cool,"If you have a PS4 you know that black box gets pretty hot during long gaming sessions. This stand with switchable dual fans helps keep your PS4 at optimal performance temps. Plus it adds dual charging stations for controllers and adds two extra USB ports. While this item comes with no instructions on setup it's still very easy to connect. Just know that this stand doesn't &#34;Lock In&#34; your PS4 and while it firmly supports it vertically it will not prevent an accidental overturn if you do not have it on a firm shelf.<br /><br />The dual fans make some noise but not enough to distract you over background noises. As for the USB ports, you connect a USB lead from the stand to one of the open ports on your PS4, this gives you one open port on the PS4 and 3 USB ports on the stand itself. Also if you have the PS4 settings in Rest Mode it will automatically shut down the fans when it turns off power to the USB ports. I found this stand to everything advertised and a well made 3rd party accessory for your PS4 for the price.",POSITIVE,POSITIVE
70,1919670,R2ZTIJ1OGCCL3Q,B002BG6ZUK,Hunting Unlimited 2010,1,"First of all, people are saying that this is ...","First of all, people are saying that this is the same as older HU games, which is what I wanted. Wellllll when I got the item I was soo excited.....but my mood changed as soon as I tried to play. It wouldn't load and before I bought it I made sure it worked on Windows 8. I got to looking on the back later and around the middle edge it was jagged and scratched. Most likely if it wasn't that way it would work. I am trying to return it or get it replaced, I will try to remember to update yall if it works when i get another one.",NEGATIVE,POSITIVE
71,51954712,R137FFZDW0NGYJ,B001SQ8HTQ,Nyko Wand Core Pak for Wii,3,Annoying sync issue,Took many tries to get it to sync but we finally got it connected after a couple of weeks of trying. It appears to be working fine now.,POSITIVE,POSITIVE
72,30067162,R26DR4AYQB0RNL,B00S1LRX3W,Nintendo New 3DS XL,5,Five Stars,excellent,POSITIVE,POSITIVE
73,13506443,R285OGFUKNFKO5,B00O97ZVJA,Nintendo Amiibo,5,Five Stars,I love it!,POSITIVE,POSITIVE
74,1085641,R2CI0Y288CC7E2,B00RHI62GY,ONE PIECE Pirate Warriors 3,1,i request change article,"Yesterday i received my package, however, the disc is bent, i took some pictures before opening the disc, please indicate you are responsible for changing the disc?",NEGATIVE,POSITIVE
75,51771179,R3TP89AB8WMY06,B003O680ZY,Motorstorm Apocalypse,5,Five Stars,All man this was fun.,POSITIVE,POSITIVE
76,21001467,R11HR9TSPUPP6X,B00GOOSV98,GelTabz Performance Thumb Grips - PlayStation 4 and PlayStation 3,5,I like these out of the few that I have tried,I like these out of the few that I have tried. Very close to stock height. Many other are to thick and create longer joysticks. These I enjoy.,POSITIVE,POSITIVE
77,22151364,RVNS8JVMATCS8,B00KME8JBQ,Battlefield Hardline,5,Five Stars,Awesome!,POSITIVE,POSITIVE
78,1882059,R1UON5PEH3RQ6I,B007UM599S,Lost Planet 3,5,Five Stars,Game is awesome,POSITIVE,POSITIVE
79,10712640,R26W1B09I4OAXL,B00C1IHB92,Muramasa Rebirth with Pre order bonus,5,Five Stars,A good game and the special edition has a lot of extras to make your Vita pretty and safe.,POSITIVE,POSITIVE
80,24884854,R1GMT2C66JBYTM,B002Z7BE1U,Resident Evil 5: Gold Edition,2,Two Stars,It was not gold!,NEGATIVE,NEUTRAL
81,10595946,RXJ4RXVZNQQMK,B00149MEVY,Silent Hill: Homecoming,1,Terrible game compared to Silent Hill as a whole,"Terrible game compared to Silent Hill as a whole. Filled with plot holes, just get shattered memories. I promise. Came in good condition, left me disgusted at the game. Combat was ... okay?",NEGATIVE,NEGATIVE
82,154973,ROZKTYUKGARKF,B00SULMRI4,"HORI Real Arcade Pro 4 Kai for PlayStation 4, PlayStation 3, and PC",5,Five Stars,Goodd....,POSITIVE,NEUTRAL
83,1965700,R4VFPBBI41BH7,B00004SVNB,Battletoads,5,Five Stars,Great!,POSITIVE,POSITIVE
84,10443253,R1GBJZ5XC1XTXS,B0050SXJXW,Pro-Evolution Soccer 2012,5,Most realistic and fun football/soccer game I've played.,"Best football game on PS3, it can't get any better than this.",POSITIVE,POSITIVE
85,24736244,R34PCR8AFDJ7IZ,B00Y074JRY,Ganondorf amiibo - Japan Import (Super Smash Bros Series),5,Five Stars,My son loved it!,POSITIVE,POSITIVE
86,24732189,R3TE2XRB1YY59L,B00NP8J2KS,Need For Speed Rivals Complete Edition,5,Five Stars,Good game.,POSITIVE,POSITIVE
87,2944455,R8VY6DVIII3YM,B001SQ0ZV4,Wii Wand,5,Nice!,A nice alternative to over priced Wii Remotes!,POSITIVE,POSITIVE
88,429832,R25PVGGC7ON158,B000035YA1,Hydro Thunder,5,Five Stars,Epic,POSITIVE,NEUTRAL
89,12966095,R3LY37H2SESSLH,B00JK00S0S,The Last of Us,5,Five Stars,Such an amazing game.....,POSITIVE,POSITIVE
90,22526509,R3I2LMGRW1CNE5,B00ZMBLKPG,Gears of War: Ultimate Edition - Xbox One,5,This game is so amazing. The remastered cut scenes and engine are terrific ...,This game is so amazing. The remastered cut scenes and engine are terrific and the nostalgia that I feel is too much for words. Get this game NOW or you'll lose your availability to play the other three games via BC FOR FREE!!! Great great game.,POSITIVE,POSITIVE
91,12721365,ROCYPWG21HIOZ,B00YGHG87W,Pink Yarn Yoshi amiibo - Japan Import (Yoshi's Woolly World Series),5,Pretty cute.,"It's a yarn Yoshi, and it's pink. Pretty cute.",POSITIVE,POSITIVE
92,18441193,RLBIHAM7Y3TS6,B00T76ZGDO,"Collective Minds 2.5"" Hard Drive Enclosure & 3 Front USB 3.0 Ports Media HUB - Xbox One",5,Great.,"Excellent device, really useful to store a harddrive and have front USB ports.",POSITIVE,POSITIVE
93,2331478,R1RX7RKDL8E4UQ,B0045IIQ4U,Hidden Mysteries: Salem Secrets,1,One Star,poor quality,NEGATIVE,NEGATIVE
94,32866903,RMI9KVCNC3DYS,B006PP3YMU,PlayStation Vita USB Cable,4,Four Stars,works great,POSITIVE,POSITIVE
95,4310666,R2AO4LQ4LEOCAG,B00J5S9Y32,Proimb Vertical Stand with Cooling Fan for Playstation 4 Ps4,4,Super nice base,Super nice base. It shoulb be a little more wide to add a littler more balance when the ps4 is in it. But nothing bad. Good product.,POSITIVE,POSITIVE
96,19633477,R3UF8G7L67JA2Y,B00B98HF1O,LEGO: Marvel,5,Great game,"My 7 year old daughter and I love this game. We are slowly working our way through it. So much to do, it doesn't get boring and can play for months.",POSITIVE,POSITIVE
97,40672081,R27RYQMIVSCO33,B00BGA9WK2,PlayStation 4 500GB Console [Old Model],5,"Who needs reviews for buying a PS4! Stop wasting time, buy one and get playing",Do you need a review for the PS4!!!,NEGATIVE,NEUTRAL
98,1453081,R894FRA0USAUF,B0050SXPBI,Carnival Island - Playstation 3,4,Four Stars,this is a fun little game for the family,POSITIVE,POSITIVE
99,22151364,R26I4OP3M9BC2K,B0016Q4UJE,Saints Row 2,5,Five Stars,Awesome!,POSITIVE,POSITIVE
